command,name,help,description,arguments_json,has_help,has_description,mentioned_in_docs,example_in_code_block,safety_flags
boundary audit,audit,audit command,,"[{""choices"": null, ""default"": null, ""dest"": ""inventory_json"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""text_end_rva"", ""help"": null, ""nargs"": null, ""option_strings"": [""--text-end-rva""], ""required"": false, ""type"": null}]",True,False,False,False,[]
boundary audit-project,audit-project,audit-project command,,"[{""choices"": null, ""default"": null, ""dest"": ""artifact_project"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""binary"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
boundary export-ghidra-fixes,export-ghidra-fixes,export-ghidra-fixes command,,"[{""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
boundary list,list,list command,,"[{""choices"": null, ""default"": null, ""dest"": ""classification"", ""help"": null, ""nargs"": null, ""option_strings"": [""--classification""], ""required"": false, ""type"": null}]",True,False,False,False,[]
boundary show,show,show command,,"[{""choices"": null, ""default"": null, ""dest"": ""function_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
build,build,canonical build capability commands,Canonical build commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
build add-target,add-target,add-target command,,"[{""choices"": null, ""default"": null, ""dest"": ""build_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""name"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": ""executable"", ""dest"": ""kind"", ""help"": null, ""nargs"": null, ""option_strings"": [""--kind""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_name"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output-name""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""sources_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--sources-json""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""dependencies_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--dependencies-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
build add-variant,add-variant,add-variant command,,"[{""choices"": null, ""default"": null, ""dest"": ""target_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""name"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""compiler"", ""help"": null, ""nargs"": null, ""option_strings"": [""--compiler""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""linker"", ""help"": null, ""nargs"": null, ""option_strings"": [""--linker""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""compile_flags_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--compile-flags-json""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""link_flags_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--link-flags-json""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""environment_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--environment-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
build compare-modes,compare-modes,compare-modes command,,"[{""choices"": null, ""default"": null, ""dest"": ""historical_build_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""portable_build_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
build create,create,create command,,"[{""choices"": null, ""default"": null, ""dest"": ""name"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""mode"", ""help"": null, ""nargs"": null, ""option_strings"": [""--mode""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": ""cmake"", ""dest"": ""generator"", ""help"": null, ""nargs"": null, ""option_strings"": [""--generator""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""build"", ""dest"": ""output_root"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output-root""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""metadata_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--metadata-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
build generate,generate,generate command,,"[{""choices"": null, ""default"": null, ""dest"": ""build_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_root"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output-root""], ""required"": false, ""type"": null}]",True,False,False,False,[]
build matrix,matrix,matrix command,,[],True,False,False,False,[]
build show,show,show command,,"[{""choices"": null, ""default"": null, ""dest"": ""build_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
build validate,validate,validate command,,"[{""choices"": null, ""default"": null, ""dest"": ""target_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""variant_id"", ""help"": null, ""nargs"": null, ""option_strings"": [""--variant-id""], ""required"": false, ""type"": null}]",True,False,False,False,[]
campaign,campaign,canonical campaign capability commands,Canonical campaign commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
campaign branch,branch,branch command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""name"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""parent"", ""help"": null, ""nargs"": null, ""option_strings"": [""--parent""], ""required"": false, ""type"": null}]",True,False,False,False,[]
